419618608;;;;493791122;;;;536276820;;;;554073927;;;;584156254;;;;674431781;;;;1059811329;;;;1302641676;;;;1521899294;;;;1533183868;;;;1736385995;;;;1829804955;;;;1838307193;;;;2058736553;;;;2155848983;;;;2611462435;;;;2891749819;;;;2908668879;;;;3159596823;;;;3165256785;;;;3307312563;;;;3403011922;;;;3730211977;;;;4123327582;;;;4287173726;;;;
#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;
0;1201.07;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1226.42;0;;0;1303.68;0;;0;1249.36;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1260.22;0;;0;1137.09;0;;0;1303.68;0;;0;1303.68;0;;0;1246.94;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1201.07;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1205.9;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1226.42;0;;0;1303.68;0;;0;1249.36;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1260.22;0;;0;1137.09;0;;0;1303.68;0;;0;1303.68;0;;1;1246.94;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1201.07;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2175.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2166.32;0;;0;1303.68;0;;0;1249.36;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1260.22;0;;0;1137.09;0;;0;1303.68;0;;0;1303.68;0;;1;2150.94;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1201.07;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1997.26;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1970.22;0;;0;1303.68;0;;1;1938.81;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1260.22;0;;0;1137.09;0;;0;1303.68;0;;0;1303.68;0;;1;1921.22;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1201.07;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2001.27;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1981.61;0;;0;1303.68;0;;1;1958.44;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1260.22;0;;1;1936.88;0;;0;1303.68;0;;0;1303.68;0;;1;1945.1;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
1;1946.95;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2006.82;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1990.62;0;;0;1303.68;0;;1;1964.44;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1260.22;0;;1;1943.77;0;;0;1303.68;0;;0;1303.68;0;;1;1955.55;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
1;1872.84;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1933.26;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1917.07;0;;0;1303.68;0;;1;1896.4;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1935.14;0;;1;1870.44;0;;0;1303.68;0;;0;1303.68;0;;1;1880.82;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
1;1604.09;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1660.12;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1645.22;0;;0;1303.68;0;;1;1620.69;0;;0;1303.68;0;;0;1303.68;0;;1;1687.86;0;;1;1666.88;0;;1;1597.22;0;;0;1303.68;0;;0;1303.68;0;;1;1614.15;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
1;1650.14;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1708.49;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1695.98;0;;0;1303.68;0;;1;1669.4;0;;0;1303.68;0;;0;1303.68;0;;1;1739.36;0;;1;1718.11;0;;1;1645.61;0;;0;1303.68;0;;0;1303.68;0;;1;1662.72;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1743.32;0;;
1;1626.75;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1682.49;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1665.72;0;;0;1303.68;0;;1;1643.59;0;;0;1303.68;0;;0;1303.68;0;;1;1710.95;0;;1;1694.69;0;;1;1623.13;0;;0;1303.68;0;;0;1303.68;0;;1;1631.82;0;;0;1303.68;0;;0;1303.68;0;;1;1730.33;0;;0;1303.68;0;;1;1723.96;0;;
1;1671.24;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1715.36;0;;1;1764.88;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1699.84;0;;0;1303.68;0;;1;1678.83;0;;0;1303.68;0;;0;1303.68;0;;1;1742.12;0;;1;1727.08;0;;1;1665.76;0;;0;1303.68;0;;0;1303.68;0;;1;1668.09;0;;0;1303.68;0;;0;1303.68;0;;1;1760.91;0;;0;1303.68;0;;1;1751.59;0;;
1;1895.5;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1919.34;0;;1;1956.66;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1903.28;0;;0;1303.68;0;;1;1883.05;0;;0;1303.68;0;;1;1960.17;0;;1;1939.61;0;;1;1931.21;0;;1;1881.38;0;;0;1303.68;0;;0;1303.68;0;;1;1876.64;0;;0;1303.68;0;;0;1303.68;0;;1;1953.95;0;;0;1303.68;0;;1;1951.88;0;;
1;2079.84;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2080.18;0;;1;2118.12;0;;1;2123.58;0;;0;1303.68;0;;0;1303.68;0;;1;2064.45;0;;0;1303.68;0;;1;2051.94;0;;0;1303.68;0;;1;2124.23;0;;1;2105.64;0;;1;2090.61;0;;1;2058.88;0;;0;1303.68;0;;0;1303.68;0;;1;2050.53;0;;0;1303.68;0;;0;1303.68;0;;1;2110.13;0;;0;1303.68;0;;1;2105.63;0;;
1;2349.85;0;;1;2328.22;0;;0;1303.68;0;;0;1303.68;0;;1;2312;0;;1;2328.7;0;;1;2334.41;0;;0;1303.68;0;;0;1303.68;0;;1;2297.07;0;;0;1303.68;0;;1;2291.82;0;;0;1303.68;0;;1;2331.44;0;;1;2334.81;0;;1;2319.99;0;;1;2316.36;0;;0;1303.68;0;;0;1303.68;0;;1;2297.13;0;;0;1303.68;0;;0;1303.68;0;;1;2325.09;0;;0;1303.68;0;;1;2328.62;0;;
1;2676.26;0;;1;2569.26;0;;0;1303.68;0;;0;1303.68;0;;1;2580.92;0;;1;2573.56;0;;1;2576.52;0;;0;1303.68;0;;0;1303.68;0;;1;2567.53;0;;0;1303.68;0;;1;2575.01;0;;0;1303.68;0;;1;2577.03;0;;1;2587.76;0;;1;2587.71;0;;1;2621.31;0;;1;2558.2;0;;0;1303.68;0;;1;2588.2;0;;0;1303.68;0;;0;1303.68;0;;1;2574.32;0;;0;1303.68;0;;1;2587.67;0;;
1;2844.71;0;;1;2688.47;0;;0;1303.68;0;;1;2667.65;0;;1;2724.49;0;;1;2703.97;0;;1;2698.19;0;;0;1303.68;0;;0;1303.68;0;;1;2710.54;0;;0;1303.68;0;;1;2722.86;0;;0;1303.68;0;;1;2702.12;0;;1;2729.49;0;;1;2732.43;0;;1;2769.73;0;;1;2676.74;0;;0;1303.68;0;;1;2733.66;0;;0;1303.68;0;;0;1303.68;0;;1;2708.68;0;;0;1303.68;0;;1;2723.89;0;;
1;3162.86;0;;1;2866.7;0;;0;1303.68;0;;1;2837.68;0;;1;2944.63;0;;1;2890.75;0;;1;2876.75;0;;0;1303.68;0;;0;1303.68;0;;1;2935.9;0;;1;2828.09;0;;1;2969.5;0;;0;1303.68;0;;1;2882.79;0;;1;2934.01;0;;1;2943.69;0;;1;3062.11;0;;1;2851.75;0;;0;1303.68;0;;1;2996.89;0;;0;1303.68;0;;0;1303.68;0;;1;2900.79;0;;0;1303.68;0;;1;2922.12;0;;
1;3274.28;0;;1;2987.95;0;;0;1303.68;0;;1;2956.97;0;;1;3081.68;0;;1;3016.77;0;;1;2998.71;0;;0;1303.68;0;;0;1303.68;0;;1;3072.68;0;;1;2942.99;0;;1;3109.83;0;;1;2943.07;0;;1;3006.62;0;;1;3072.9;0;;1;3083.86;0;;1;3217.7;0;;1;2976.7;0;;0;1303.68;0;;1;3140.01;0;;0;1303.68;0;;0;1303.68;0;;1;3030.26;0;;0;1303.68;0;;1;3055.4;0;;
1;3430.88;0;;1;3042.65;0;;0;1303.68;0;;1;3010.83;0;;1;3144.62;0;;1;3068.93;0;;1;3051.86;0;;0;1303.68;0;;0;1303.68;0;;1;3137.18;0;;1;2997.24;0;;1;3178.53;0;;1;2992.85;0;;1;3059.95;0;;1;3126.47;0;;1;3140.66;0;;1;3312.24;0;;1;3028.13;0;;0;1303.68;0;;1;3228.17;0;;1;2983.73;0;;0;1303.68;0;;1;3082.26;0;;0;1303.68;0;;1;3110.1;0;;
1;3670.7;0;;1;3239.23;0;;0;1303.68;0;;1;3198.43;0;;1;3388.77;0;;1;3283.57;0;;1;3254.72;0;;0;1303.68;0;;0;1303.68;0;;1;3383.3;0;;1;3185.24;0;;1;3442.23;0;;1;3177.23;0;;1;3268.83;0;;1;3361.74;0;;1;3384.24;0;;1;3610.03;0;;1;3221.18;0;;1;3155.86;0;;1;3484.07;0;;1;3169.79;0;;0;1303.68;0;;1;3304.03;0;;0;1303.68;0;;1;3336.78;0;;
1;4040.94;0;;1;3479.95;0;;0;1303.68;0;;1;3426.03;0;;1;3671.58;0;;1;3543.57;0;;1;3501.05;0;;0;1303.68;0;;0;1303.68;0;;1;3667.7;0;;1;3407.49;0;;1;3734.39;0;;1;3396.02;0;;1;3522.34;0;;1;3645.78;0;;1;3673.76;0;;1;3928.18;0;;1;3454.8;0;;1;3359.32;0;;1;3798.53;0;;1;3386.97;0;;0;1303.68;0;;1;3572.09;0;;1;3357.36;0;;1;3609.81;0;;
1;4183.87;0;;1;3593.49;0;;0;1303.68;0;;1;3531.62;0;;1;3825.95;0;;1;3671.03;0;;1;3619.26;0;;0;1303.68;0;;0;1303.68;0;;1;3812.52;0;;1;3511.84;0;;1;3885.34;0;;1;3499.05;0;;1;3644.31;0;;1;3797.91;0;;1;3828.29;0;;1;4043.92;0;;1;3564.4;0;;1;3465.64;0;;1;3948.31;0;;1;3487.42;0;;1;3453.29;0;;1;3705.92;0;;1;3455.49;0;;1;3753.04;0;;
1;4271.47;0;;1;3672.5;0;;0;1303.68;0;;1;3607.16;0;;1;3906.04;0;;1;3751.46;0;;1;3698.74;0;;0;1303.68;0;;1;3509.32;0;;1;3893.04;0;;1;3586.19;0;;1;3969.08;0;;1;3571.38;0;;1;3723.94;0;;1;3879.22;0;;1;3910.21;0;;1;4128.33;0;;1;3641.13;0;;1;3535.14;0;;1;4034.06;0;;1;3561.78;0;;1;3517.75;0;;1;3786.78;0;;1;3525.21;0;;1;3831.54;0;;
1;4196.39;0;;1;3640.38;0;;0;1303.68;0;;1;3578.19;0;;1;3858.59;0;;1;3712.94;0;;1;3662.74;0;;1;3475.29;0;;1;3480.84;0;;1;3844.35;0;;1;3559.21;0;;1;3916.52;0;;1;3544.55;0;;1;3686.92;0;;1;3831.24;0;;1;3860.28;0;;1;4062.28;0;;1;3610.09;0;;1;3509.55;0;;1;3974.95;0;;1;3535.12;0;;1;3492.12;0;;1;3746.06;0;;1;3500.58;0;;1;3785.74;0;;
1;4219.64;0;;1;3660.7;0;;1;3501;0;;1;3600.54;0;;1;3879.4;0;;1;3734.89;0;;1;3685.35;0;;1;3491.55;0;;1;3499.69;0;;1;3865;0;;1;3582.51;0;;1;3936.8;0;;1;3566.46;0;;1;3709.12;0;;1;3852.9;0;;1;3882.17;0;;1;4083.19;0;;1;3632.83;0;;1;3530.04;0;;1;3995.44;0;;1;3556.93;0;;1;3510.58;0;;1;3768.4;0;;1;3520.15;0;;1;3806.79;0;;
