66241062;;;;115837254;;;;267978096;;;;376187210;;;;588999079;;;;619224495;;;;624915237;;;;643206681;;;;698421966;;;;732226454;;;;800520779;;;;896204147;;;;1067751838;;;;1105778662;;;;1209416329;;;;1241271014;;;;1423383369;;;;1463114689;;;;1708211192;;;;1755483733;;;;1811548489;;;;1891198729;;;;1998410532;;;;2056696850;;;;2113632023;;;;2206254614;;;;2477162645;;;;2576978609;;;;2612708609;;;;2667856806;;;;2792672736;;;;2825395819;;;;2888527149;;;;3091103201;;;;3119357525;;;;3134376116;;;;3289532485;;;;3309020767;;;;3402094018;;;;3842281435;;;;3891058259;;;;4033821422;;;;4164248214;;;;4184855649;;;;4282125547;;;;
#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;#poses;f;isConstant;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1249.36;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1137.09;0;;0;1277.12;0;;0;1303.68;0;;0;1202.28;0;;0;1303.68;0;;0;1246.94;0;;0;1303.68;0;;0;1303.68;0;;0;1245.73;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1243.32;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;0;1303.68;0;;0;1201.07;0;;0;1226.42;0;;0;1178.14;0;;0;1173.31;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1249.36;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1137.09;0;;0;1277.12;0;;0;1303.68;0;;0;1202.28;0;;0;1303.68;0;;0;1246.94;0;;0;1303.68;0;;0;1303.68;0;;0;1245.73;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;1303.68;0;;0;1243.32;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;0;1303.68;0;;0;1201.07;0;;0;1226.42;0;;0;1178.14;0;;0;1173.31;0;;1;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1249.36;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1137.09;0;;0;1277.12;0;;0;1303.68;0;;0;1202.28;0;;0;1303.68;0;;0;1246.94;0;;0;1303.68;0;;0;1303.68;0;;0;1245.73;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1243.32;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;1303.68;0;;1;1201.07;0;;0;1226.42;0;;0;1178.14;0;;0;1173.31;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1249.36;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1137.09;0;;0;1277.12;0;;0;1303.68;0;;1;1967.58;0;;0;1303.68;0;;0;1246.94;0;;0;1303.68;0;;0;1303.68;0;;0;1245.73;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1243.32;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;1961.57;0;;1;1955.21;0;;0;1226.42;0;;0;1178.14;0;;0;1173.31;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1249.36;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1137.09;0;;0;1277.12;0;;0;1303.68;0;;1;2171.87;0;;0;1303.68;0;;0;1246.94;0;;0;1303.68;0;;0;1303.68;0;;0;1245.73;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2177.82;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;2171.32;0;;1;2160.44;0;;0;1226.42;0;;0;1178.14;0;;0;1173.31;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1249.36;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2084.35;0;;0;1277.12;0;;0;1303.68;0;;1;2071.44;0;;0;1303.68;0;;0;1246.94;0;;0;1303.68;0;;0;1303.68;0;;0;1245.73;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2117.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;2099.07;0;;1;2072.46;0;;0;1226.42;0;;0;1178.14;0;;0;1173.31;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1249.36;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2153.91;0;;0;1277.12;0;;0;1303.68;0;;1;2149.94;0;;0;1303.68;0;;1;2170.13;0;;0;1303.68;0;;0;1303.68;0;;0;1245.73;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2177.31;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;2165.35;0;;1;2149.35;0;;0;1226.42;0;;0;1178.14;0;;0;1173.31;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1249.36;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2162.63;0;;0;1277.12;0;;0;1303.68;0;;1;2164.78;0;;0;1303.68;0;;1;2188.9;0;;0;1303.68;0;;0;1303.68;0;;0;1245.73;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2163.89;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;2165.3;0;;1;2150.77;0;;0;1226.42;0;;0;1178.14;0;;1;2169.45;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1249.36;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2159.23;0;;0;1277.12;0;;0;1303.68;0;;1;2157;0;;0;1303.68;0;;1;2180.39;0;;0;1303.68;0;;0;1303.68;0;;0;1245.73;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2179.9;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;2162.31;0;;1;2167.34;0;;0;1226.42;0;;1;2173.26;0;;1;2173.2;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2254.44;0;;0;1268.67;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2237.42;0;;0;1277.12;0;;0;1303.68;0;;1;2221.22;0;;0;1303.68;0;;1;2251.58;0;;0;1303.68;0;;0;1303.68;0;;0;1245.73;0;;0;1275.91;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;1;2257.28;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1205.9;0;;0;1260.22;0;;0;1303.68;0;;1;2221.34;0;;1;2233.78;0;;0;1226.42;0;;1;2247.19;0;;1;2242.96;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;0;1303.68;0;;
