VISDATA
25
0 7  3 16 7 1 8 17 4 
1 8  4 8 7 16 10 0 11 3 
2 0
3 10  4 0 16 10 8 11 7 12 13 1 
4 7  3 1 7 16 8 17 0 
5 0
6 0
7 12  11 10 1 0 12 13 14 15 4 3 16 8 
8 11  11 1 3 12 13 14 10 15 0 4 7 
9 0
10 9  7 3 1 8 11 12 13 14 15 
11 9  7 8 13 3 1 15 12 14 10 
12 8  15 13 14 8 7 11 10 3 
13 8  12 15 11 7 8 14 3 10 
14 7  15 12 7 8 13 11 10 
15 7  12 13 14 7 8 11 10 
16 6  0 1 3 4 7 17 
17 8  18 20 22 21 23 0 4 16 
18 5  17 23 20 21 22 
19 0
20 5  17 18 23 22 21 
21 5  17 18 20 23 22 
22 5  17 18 20 21 23 
23 5  17 18 20 21 22 
24 0
