imageName X Y Z Omega Phi Kappa
1-0.jpg -12.573591 -39.497335 -42.161818 31.117485 -35.509775 -87.950583
1-1.jpg -19.306684 -46.104997 -28.726035 57.742656 -34.861268 -75.237074
1-10.jpg -18.041546 -37.547228 -24.801354 42.630211 -26.358516 -84.717614
1-11.jpg -17.641884 -36.425260 -24.669588 38.891757 -26.421210 -86.543906
1-12.jpg -17.661382 -35.554536 -23.985556 40.400333 -26.851390 -85.893804
1-13.jpg -17.224403 -34.237677 -23.873934 39.375515 -25.381162 -86.579095
1-14.jpg -16.925508 -33.116924 -23.620365 37.321934 -23.971065 -87.788923
1-15.jpg -16.642339 -31.976258 -23.332905 36.326969 -24.040991 -88.298607
1-16.jpg -16.358912 -30.910530 -22.985296 34.367427 -23.288109 -89.354571
1-17.jpg -16.000620 -29.684886 -22.827195 32.520745 -22.341583 -90.243732
1-18.jpg -15.670304 -28.432712 -22.548366 31.203762 -21.583526 -90.853041
1-19.jpg -15.402185 -27.395391 -22.170522 27.999074 -19.662518 -92.450096
1-2.jpg -19.596571 -45.715629 -28.040142 52.215007 -34.745442 -78.744886
1-20.jpg -15.071178 -26.115697 -22.001467 27.697991 -19.825275 -92.675065
1-21.jpg -14.703755 -24.962197 -21.783321 25.991478 -19.992397 -93.568873
1-22.jpg -14.325844 -23.711658 -21.526512 24.899466 -19.855795 -94.090207
1-23.jpg -14.053241 -22.459645 -21.217577 22.906483 -19.138849 -95.039591
1-27.jpg -12.486921 -17.377580 -20.476227 20.028152 -18.914816 -96.658539
1-24.jpg -13.566417 -21.109292 -21.239657 23.129100 -18.067766 -95.038284
1-74.jpg 12.707501 46.206495 -23.592258 -16.236888 -8.645816 -113.099394
1-25.jpg -13.208265 -19.916429 -20.938777 22.067432 -19.033132 -95.521786
1-26.jpg -12.876979 -18.679589 -20.663899 21.637075 -18.504018 -95.845770
1-28.jpg -12.063468 -16.081616 -20.446323 18.469907 -18.234675 -97.475880
1-29.jpg -11.657958 -14.738690 -20.298126 17.864290 -18.194581 -97.794160
