1-0 H_25.40000_179.29412
1172 -3.18586 -10.49325
1173 10.73006 -24.25034
1174 11.56411 -25.39373
1188 6.57424 -27.72234
1196 1.83954 -28.37169
1197 1.33534 -30.08041
1198 -10.68785 -5.92569
1200 -1.35697 -5.71399
1201 -7.94923 -6.84256
1202 -7.72637 -2.06166
1204 -2.62033 -24.17571
1213 5.92869 -25.01888
1222 5.85642 -30.68934
1229 6.53055 -29.73288
1230 12.22429 -19.55478
1249 -1.53306 -29.37439
1259 -0.91993 -20.00599
1260 -5.10161 -23.97754
1261 -3.58434 -25.34675
1265 -9.60404 -14.20045
1266 -12.27971 -19.39155
1284 -3.60622 -0.03546
1301 -6.19514 -9.76376
1317 1.24526 0.13426
1337 3.42715 -7.19916
1356 -4.44957 -18.96527
1360 1.82112 -27.95806
1361 -2.58530 -27.33115
1362 2.85193 6.41702
1364 1.82452 3.48798
1371 1.78024 9.28144
1372 0.29021 -9.58768
1377 -3.03801 4.79712
1388 -1.46086 -2.06491
1402 -6.45853 -6.38593
1408 0.64968 -27.84928
1410 -5.45613 -18.66470
1411 5.02379 -20.44870
1412 -9.67169 -19.80269
1426 -3.07628 -7.31369
1465 8.00851 -15.62889
1478 10.43742 -4.11733
1484 1.99621 -8.92342
1485 2.69393 -9.26196
1565 -0.04976 -10.64374
1805 -4.99207 0.69697
2442 4.37122 -18.02222
2451 10.25192 -8.67652
2456 4.46845 -13.63962
2457 -3.60385 -10.61121
2464 5.98414 -6.43807
2468 8.34470 -20.83274
2469 6.27842 -7.25342
2474 -2.06123 -17.45114
2475 3.85372 -25.85436
2476 9.70465 -25.96403
2477 10.06615 -20.58485
2478 2.95893 -24.16658
2479 10.86518 -21.46216
2480 11.58097 -14.64048
2481 10.21157 -19.67877
2482 9.44406 -22.83360
2483 7.31753 -24.28062
2484 10.95177 -16.26305
2485 5.01772 -15.26209
2486 6.88024 -20.73454
2487 3.30294 -14.29423
2488 10.55338 -5.38852
2489 2.42590 -15.11927
2490 11.92652 -14.84078
2491 6.44566 -23.26805
2492 1.50723 -11.69376
2493 5.20752 -4.74291
2494 0.35888 -17.31966
2495 6.29512 -21.13134
2496 5.03343 -4.26409
2498 2.33889 -6.60009
2499 10.55338 -5.38852
2503 7.76479 -3.45424
2505 1.70015 -6.40181
2506 6.22178 -17.72706
2507 1.73710 5.20589
2508 5.03399 -2.62400
2509 12.03972 -3.78741
2512 9.94715 -17.27864
2513 5.41493 -5.64815
2515 10.04196 -5.80976
2517 3.20898 -2.74077
2519 8.23990 -19.48018
2520 8.00523 -1.29393
2521 -0.84958 -20.44588
2523 -9.47432 -2.84712
2524 7.76126 -14.75702
2525 4.37469 -27.75903
2526 7.46020 -1.85820
2527 6.65485 -3.11936
2528 6.69674 -2.63612
2529 9.52667 -8.14482
2530 2.16652 -21.42626
2531 5.19920 -21.52882
2532 5.58133 -24.89224
2534 1.17592 -19.71735
2535 9.89389 -10.85883
2536 -3.97858 -26.22569
2537 5.42926 -10.71602
2539 3.28352 -8.62429
2540 4.43613 -10.86779
2541 8.41873 -17.45158
2542 -0.10208 -28.25800
2543 6.17202 -16.07634
2544 3.63054 -21.56627
2545 -1.36404 -11.49150
2546 -1.55739 1.67960
2548 1.30272 -25.70726
2552 3.92548 -5.59201
2553 3.93935 -8.98623
2554 2.41711 0.78755
2561 -1.30196 -0.67900
2562 3.95374 6.01637
2572 2.80058 -6.16164
2573 5.12667 -0.69346
2574 9.74254 -14.52592
2575 10.04657 -22.11369
2585 8.12049 -17.81254
2602 8.27785 -6.38406
2603 10.25813 -2.07439
2604 5.07850 -21.88561
2606 9.20142 -10.46036
2609 8.23990 -19.48018
2611 -7.63686 -4.93818
2614 2.78285 -23.29744
2615 6.92825 -4.42855
2616 9.29691 -14.93851
2619 3.45331 6.62264
2636 5.38911 -28.95809
2638 8.17277 -29.56843
2639 7.39622 -26.24846
2641 4.26732 -22.75154
2642 9.34235 -17.44319
2643 10.33681 -10.65081
2644 -9.76699 -20.44820
2645 4.37469 -27.75903
2646 -9.67780 -20.61973
2647 -1.86316 -17.53733
2648 2.68200 -26.89368
2649 1.33534 -30.08041
2749 -3.40316 4.65367
2750 9.41042 -2.66274
2751 0.92245 8.01309
2752 0.09631 -18.65812
2753 -2.72332 6.86488
2761 -2.96288 -18.78467
2763 -0.20949 -30.90457
2764 1.52184 10.60945
2769 -1.54350 6.99545
2926 1.37609 -8.75190
2927 7.55296 -4.54997
2928 5.95846 -2.11617
2929 3.16867 -20.96275
2930 -0.14019 -9.69807
2931 -0.02905 -1.95508
2932 -3.86049 11.96521
2933 7.97790 -5.49398
2935 -3.80831 12.70668
2938 -0.58104 12.32714
2943 -2.83455 12.18454
2952 10.87542 -13.39748
2973 -1.29145 12.23494
2974 9.48519 -4.63345
2975 6.32398 -10.53380
2976 -9.18139 -5.14580
2977 -0.80418 1.73931
2978 -4.99207 0.69697
2979 -4.33280 -8.39461
2980 9.55335 -23.20561
2981 -2.87829 4.30056
2982 10.40362 0.69535
2983 -5.55604 -19.67651
2984 -4.13275 0.03403
2985 -4.95072 -3.65683
2986 9.25768 -3.75549
2987 5.23449 -16.36511
2988 -4.35093 -25.49694
2989 -4.85868 2.15953
2990 -8.31261 -6.39979
2991 3.96575 -10.62292
2992 -1.11909 -4.59193
2993 7.46119 1.18958
2994 -6.52904 -0.21185
2995 -1.79679 8.08558
2996 10.53175 -3.49283
2997 -10.64221 -2.47888
2998 -7.00863 -3.44741
2999 7.11423 2.79385
3000 -3.72867 -12.79324
3001 -6.49292 -12.14839
3002 2.57048 6.93043
3003 -3.90037 -17.49180
3004 -5.69765 -10.67139
3005 -11.43467 -17.91178
3006 -9.86511 -15.10577
3007 -2.62172 -7.19139
3008 -10.77228 0.95737
3009 -10.03881 -5.11738
3010 -4.36752 -16.08766
3011 -10.03881 -5.11738
3012 9.74286 1.96035
3013 -5.61956 3.26482
3014 -11.10364 1.41932
3015 -6.35669 -15.25973
3016 1.08064 9.78018
3017 -11.17004 -1.71424
3018 7.27284 0.18736
3019 -2.28712 -11.56016
3020 -7.23951 -12.65658
3021 -6.01272 -21.59275
3022 1.81145 -1.61174
3023 -9.10475 -18.37491
3024 -1.05356 13.49265
3025 -1.47129 -25.93177
3026 -2.12958 12.05809
3027 -3.90504 -3.71965
3028 -8.80779 -0.58574
3029 -9.63126 -2.26445
3030 -12.18608 12.37124
3031 -9.22416 -13.44118
3032 -11.01719 -4.13583
3033 -3.86049 11.96521
3035 -8.59550 -28.11112
3036 11.38675 2.16798
3037 -3.69676 5.78711
3038 -0.53612 -6.67233
3041 6.25528 -24.46018
3042 -0.31592 -24.51189
3044 -10.51218 -14.12222
3045 2.70894 12.50479
3046 -6.94107 3.42016
3047 -10.63040 4.83047
3048 -10.86251 0.25949
3050 11.82331 2.04444
3051 -11.11827 12.45583
3052 -0.96117 -5.20612
3053 -3.43204 13.17122
3054 10.48048 4.35835
3055 -11.61767 5.24177
3056 1.56470 13.11424
3057 9.91823 4.28106
3058 -9.31896 4.01225
3059 -9.38220 0.04938
3060 -9.50579 11.22704
3061 -1.59231 14.30133
3062 1.28896 -5.55145
3063 -9.43525 -9.93064
3064 4.39617 -30.71358
3065 -1.28426 -30.37201
3066 -9.68876 -5.53422
3067 -1.59136 -12.81234
3068 -4.45174 5.97125
3069 -1.04031 -2.74276
3070 3.08931 13.18339
3071 4.17887 6.78221
3072 9.54606 -0.18939
3073 1.62776 -5.87193
3074 -9.74724 11.96325
3075 -10.91563 12.33228
3076 -7.77771 -7.36871
3077 7.62117 1.70193
3078 -10.07711 12.32539
3079 4.62940 2.09993
3080 -10.38651 0.98202
3081 -11.96888 11.06457
3082 -5.99826 -13.44379
3083 -4.52594 -16.76983
3084 11.13456 -12.75613
3085 -6.02563 13.74518
3086 7.51115 2.28307
3087 -12.40684 3.77035
3088 -3.92849 -6.34821
3089 0.86061 13.58715
3090 -2.11335 -15.28857
3091 -5.76321 11.09497
3092 -2.88655 17.26165
3093 -2.60573 15.56286
4200 -12.36652 -20.11619
4201 -2.52930 8.84806
4202 -11.66700 -23.52564
4203 4.64254 1.26183
4204 -7.93487 -13.30317
4205 8.71545 6.50838
4206 -5.98359 -29.59465
4208 -11.18649 -15.08982
4209 -5.91730 4.01991
4210 -9.16310 -10.83671
4407 5.12858 6.11518
4478 -3.25056 -20.95622
4479 2.29971 14.06729
4497 -10.11301 2.10998
4503 2.11737 -4.48171
-99
1-11 H_25.40000_58.28217
1001 7.31249 -9.30034
1067 1.89528 -23.07462
1070 -0.95807 -18.84403
1071 -1.12815 -12.34043
1072 11.91723 -10.15409
1073 0.47402 -18.85012
1074 7.93950 -18.02726
1075 -5.61550 -23.45359
1078 6.64712 -16.60842
1079 -4.17585 -22.85080
1083 3.22281 -3.64174
1084 -10.74550 -5.94466
1085 3.57957 -2.53904
1087 2.88857 2.29592
1089 6.98365 -26.30681
1090 0.29015 -24.78887
1091 1.52718 -26.18018
1093 -4.17774 -27.58556
1094 11.53844 -10.61837
1096 4.82468 -22.31995
1097 4.02126 -22.73216
1099 1.25485 -10.14711
1100 11.02231 -19.22636
1101 1.86667 -21.58141
1102 -1.86300 -11.38842
1103 6.34130 -16.12624
1104 1.80535 -23.99418
1106 6.32101 -26.78896
1107 10.91529 -6.90218
1109 -6.96969 -6.39885
1110 -6.84421 -5.29179
1111 -5.67987 -10.94746
1112 6.63132 -19.27794
1113 2.85614 -1.70156
1114 -3.93025 0.81992
1115 -2.13158 -3.70262
1116 -7.11871 -8.13318
1117 3.54198 3.20607
1118 -0.54343 -10.53601
1119 -2.93088 1.27693
1120 -2.03163 -21.86899
1121 -0.37519 -25.19517
1130 -8.91256 -4.22155
1132 4.62597 -20.20262
1135 -7.74132 -3.59036
1136 -1.78844 -13.36175
1137 4.97136 -17.29573
1138 2.48954 -15.98944
1139 9.78016 -2.96782
1140 -8.28715 -3.98049
1141 1.87565 0.18370
1142 6.71287 -13.43970
1143 4.85827 -19.08024
1144 4.62715 -17.70370
1145 11.27527 -7.35270
1146 4.12170 -11.43805
1147 8.87804 -16.04943
1148 7.38870 -10.67991
1149 7.53490 -25.28543
1150 -0.99671 -25.06396
1160 11.03508 -27.90300
1162 -2.36002 -13.67126
1167 -2.55395 -26.45883
1168 3.60946 -5.45859
1172 -3.34391 -12.94995
1173 11.51624 -26.90243
1187 -4.00822 4.19870
1198 -11.01523 -8.39873
1200 -1.50873 -8.00695
1201 -8.25094 -9.26764
1202 -8.42968 -4.39721
1204 -2.18203 -26.89924
1213 6.60041 -27.70494
1259 -0.53379 -22.59626
1261 -3.11171 -28.03116
1265 -9.49357 -16.73722
1266 -12.15699 -22.04717
1267 -12.04541 -7.83715
1284 -3.43471 -2.32012
1337 3.38692 -9.57995
1356 -4.18642 -21.53898
1362 2.78677 4.23368
1364 1.75126 1.24906
1372 0.27871 -12.03284
1377 -3.14378 2.55693
1378 -3.22226 -7.62890
1388 -1.53890 -4.40945
1389 -2.22825 -19.94151
1402 -6.99043 -8.76643
1410 -5.21736 -21.23359
1411 5.46941 -23.05132
1412 -9.41911 -22.46515
1426 -3.21941 -9.71230
1465 8.25342 -18.14871
1478 10.14451 -6.44528
1484 1.98178 -11.35308
1485 2.63512 -11.68129
1554 -2.40239 -12.74053
1565 -0.09211 -13.07095
1805 -5.06773 -1.57360
2442 4.68926 -20.59808
2443 11.91933 -18.84224
2451 10.16719 -11.03455
2456 4.64273 -16.14750
2468 8.86164 -23.42263
2475 4.50306 -28.55824
2476 10.49818 -28.66590
2477 10.60480 -23.17015
2478 3.57561 -26.83939
2479 11.48387 -24.07220
2480 11.90652 -17.12003
2481 10.68385 -22.22474
2482 10.14832 -25.46949
2483 7.99742 -26.94710
2484 11.31930 -18.80568
2485 5.25470 -17.77048
2486 7.35983 -23.32340
2487 3.45941 -16.87747
2488 10.24107 -7.72916
2489 2.52892 -17.64639
2491 7.09372 -25.91322
2493 4.90855 -7.07089
2494 0.64031 -19.96433
2495 6.79082 -23.78518
2496 4.65681 -6.60053
2499 10.24107 -7.72916
2503 7.34469 -5.77797
2504 8.29079 -19.49374
2505 1.60685 -8.76544
2506 6.57500 -20.28501
2507 1.38946 3.15665
2509 11.79243 -6.11434
2510 1.06160 -26.47560
2511 10.61296 -27.89474
2513 5.16119 -8.01367
2515 9.79094 -8.18084
2519 8.69229 -22.05835
2520 7.51669 -3.54785
2521 -0.43528 -23.04022
2523 -10.12651 -5.16071
2524 7.99616 -17.26301
2526 6.97927 -4.15026
2527 6.21739 -5.44171
2528 6.29590 -4.96818
2529 9.41434 -10.53691
2530 2.63977 -24.04289
2531 5.74623 -24.14296
2532 6.25314 -27.59950
2534 1.54902 -22.29683
2537 5.41734 -13.18000
2538 4.37043 -20.10523
2540 4.49366 -13.33891
2541 8.76459 -19.99565
2543 6.44697 -18.58703
2544 4.06483 -24.22429
2546 -1.64002 -0.50446
2552 3.66307 -7.97707
2553 3.88765 -11.45733
2554 2.39862 -1.52525
2561 -1.33193 -3.03696
2562 3.90774 3.58270
2572 2.73740 -8.51402
2574 10.01979 -17.07070
2575 10.67648 -24.70630
2585 8.47071 -20.35759
2601 9.21524 -18.60000
2602 8.05981 -8.76130
2603 9.80384 -4.36502
2604 5.62682 -24.51435
2606 9.28615 -12.89086
2609 8.69229 -22.05835
2611 -8.14586 -7.30123
2612 -3.27444 -0.00750
2613 -2.69247 -23.42430
2614 3.36042 -25.95622
2615 6.56881 -6.74982
2616 9.58674 -17.44460
2619 3.53822 4.52979
2641 4.83788 -25.38245
2642 9.72653 -19.96581
2643 10.43625 -13.12044
2644 -9.58606 -23.10022
2647 -1.45033 -20.15609
2746 1.71758 -9.71558
2749 -3.49153 2.37386
2750 8.98540 -4.99482
2751 0.90983 5.80327
2754 -6.95776 -23.16573
2926 1.34869 -11.18277
2927 7.22004 -6.88791
2928 5.43408 -4.42689
2929 3.63455 -23.57727
2930 -0.17341 -12.14701
2932 -4.88686 9.87879
2933 7.64478 -7.83928
2934 -0.52384 -7.14985
2935 -4.81706 10.58345
2952 11.15438 -15.94470
2974 9.13291 -6.96217
2975 6.34199 -12.94539
2976 -9.72157 -7.51944
2977 -0.83913 -0.57993
2978 -5.06773 -1.57360
2979 -4.54762 -10.82111
2980 10.28794 -25.82194
2981 -2.98626 2.08296
2982 9.78805 -1.69504
2983 -5.31102 -22.26912
2984 -4.17734 -2.28584
2985 -5.52322 -6.00508
2986 8.93227 -6.09076
2987 5.56011 -18.95532
2988 -3.81898 -28.15754
2989 -4.91992 -0.14273
2990 -8.85792 -8.77800
2991 3.95783 -13.05213
2992 -1.24166 -6.93082
2993 6.82570 -1.07660
2994 -6.79665 -2.46885
2995 -1.87889 5.73360
2996 10.01913 -5.82556
2997 -11.33464 -4.80368
2998 -7.61492 -5.77305
2999 6.58065 0.55578
3000 -3.77005 -15.30072
3001 -6.58604 -14.61235
3002 2.59669 4.77277
3003 -3.71400 -20.02443
3004 -5.81105 -13.22085
3005 -11.73139 -20.46569
3006 -9.79024 -17.62493
3007 -2.73240 -9.58572
3008 -11.58933 -1.30647
3009 -10.72193 -7.48343
3010 -4.11954 -18.58148
3011 -10.72193 -7.48343
3012 9.17397 -0.29901
3013 -5.74466 0.72870
3014 -11.94621 -0.81966
3015 -6.35368 -17.74282
3016 0.98068 7.63400
3017 -11.82234 -3.95472
3018 6.64982 -2.08159
3019 -2.28768 -14.01279
3020 -7.49262 -15.12794
3021 -5.69995 -24.19254
3022 1.79474 -3.97974
3023 -9.02740 -20.94941
3024 -2.03236 11.38880
3026 -3.09838 10.00854
3034 9.52451 3.13683
3036 10.66116 -0.07851
3040 7.83024 5.82356
3042 0.22974 -27.28592
3045 2.14014 10.44007
3054 9.62653 2.13747
3072 9.00977 -2.47590
3091 -6.99247 8.94790
3092 -4.03384 15.31783
3094 -12.04512 -8.52950
3096 -10.54503 11.11222
3097 2.71235 10.75902
3098 -9.80110 9.83060
3099 -7.66470 9.46695
3100 -8.29070 -12.54479
3101 -9.20028 8.62258
3102 -10.58978 8.12844
3103 -4.07754 -6.48232
3104 -11.14628 5.81957
3105 11.39781 -3.69233
3106 7.39398 9.11702
3108 5.02115 8.26338
3110 -9.40043 5.36755
3112 -2.97234 13.35121
3113 0.88689 11.90299
3115 -9.86762 -9.85483
3116 -7.27717 11.63150
3117 11.44746 -19.81246
3118 -5.50144 6.02856
3120 -10.33198 6.10237
3121 -3.52830 -5.07297
3122 8.33218 7.03489
3123 7.26777 6.70284
3124 1.00963 -1.92595
3125 -8.56015 10.39546
3127 -1.46799 10.84237
3128 10.21630 2.94357
3129 -2.05191 2.79838
3131 -6.63766 10.60443
3132 -11.04419 1.27919
3133 -5.10735 13.17558
3134 -6.33374 0.04556
3135 0.95190 -4.26705
3136 0.67632 9.34110
3137 4.43007 -1.61139
3138 4.21469 0.91125
3139 -9.47708 -18.91804
3140 -4.94295 0.63645
4200 -12.18493 -22.80241
