_0.0_153x1080 (RGB)
PerspectiveCamera5
-0.0840508, 0.0629081, -0.0248191, 1, -0.941287, 0.878314, 0.145073, -0.237671
0.12252, -0.0149805, -0.100042, -0.941287, 1, -0.982563, 0.0155548, 0.0230762
-0.124366, -0.0150026, 0.116142, 0.878314, -0.982563, 1, -0.0399867, 0.0281809
0.0366903, -0.0618618, -0.49611, 0.145073, 0.0155548, -0.0399867, 1, -0.494103
-0.0428563, -0.133811, 0.46439, -0.237671, 0.0230762, 0.0281809, -0.494103, 1
_0.0_387x1016 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.276562, -0.127282, -0.114034, 0.147954, -0.145141, 0.0680155, -0.0473624
-0.276562, 1, 0.161943, 0.0592289, -0.0140547, -0.0169402, -0.127738, -0.134185
-0.127282, 0.161943, 1, 0.0563151, -0.173825, 0.180314, -0.552459, 0.467025
-0.114034, 0.0592289, 0.0563151, 1, -0.942276, 0.875002, 0.0878882, -0.227856
0.147954, -0.0140547, -0.173825, -0.942276, 1, -0.980752, 0.0638501, 0.0117608
-0.145141, -0.0169402, 0.180314, 0.875002, -0.980752, 1, -0.0834954, 0.0455579
0.0680155, -0.127738, -0.552459, 0.0878882, 0.0638501, -0.0834954, 1, -0.506548
-0.0473624, -0.134185, 0.467025, -0.227856, 0.0117608, 0.0455579, -0.506548, 1
_0.0_414x1057 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.245302, -0.074677, -0.101609, 0.141551, -0.145448, 0.0285491, 0.0151375
-0.245302, 1, 0.133092, 0.0722909, -0.0217725, -0.00245581, -0.0411393, -0.149564
-0.074677, 0.133092, 1, 0.0905445, -0.245774, 0.273182, -0.435726, 0.389574
-0.101609, 0.0722909, 0.0905445, 1, -0.933205, 0.866762, 0.10123, -0.244025
0.141551, -0.0217725, -0.245774, -0.933205, 1, -0.982089, 0.0930536, 0.0317966
-0.145448, -0.00245581, 0.273182, 0.866762, -0.982089, 1, -0.129638, 0.0266296
0.0285491, -0.0411393, -0.435726, 0.10123, 0.0930536, -0.129638, 1, -0.448507
0.0151375, -0.149564, 0.389574, -0.244025, 0.0317966, 0.0266296, -0.448507, 1
_0.0_441x1035 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.194503, -0.0418542, -0.13453, 0.170849, -0.174672, 0.00756352, 0.0657109
-0.194503, 1, 0.158786, 0.000495064, 0.020403, -0.0393139, -0.106351, -0.0650027
-0.0418542, 0.158786, 1, 0.19146, -0.374876, 0.409419, -0.402861, 0.346034
-0.13453, 0.000495064, 0.19146, 1, -0.927523, 0.865611, 0.119129, -0.19168
0.170849, 0.020403, -0.374876, -0.927523, 1, -0.985674, 0.113035, -0.0176654
-0.174672, -0.0393139, 0.409419, 0.865611, -0.985674, 1, -0.157918, 0.0777388
0.00756352, -0.106351, -0.402861, 0.119129, 0.113035, -0.157918, 1, -0.458121
0.0657109, -0.0650027, 0.346034, -0.19168, -0.0176654, 0.0777388, -0.458121, 1
_0.0_411x999 (RGB)
PerspectiveCamera5
F,C0_x,C0_y,R1,R2,R3,T1,T2
1, -0.158869, -0.034957, -0.151538, 0.187261, -0.191844, -0.000109841, 0.0699894
-0.158869, 1, 0.0852903, -0.0344661, 0.0727171, -0.105852, -0.115166, -0.0171102
-0.034957, 0.0852903, 1, 0.280062, -0.505987, 0.559019, -0.343959, 0.336117
-0.151538, -0.0344661, 0.280062, 1, -0.901848, 0.823126, 0.183796, -0.202155
0.187261, 0.0727171, -0.505987, -0.901848, 1, -0.983854, 0.105564, -0.0645759
-0.191844, -0.105852, 0.559019, 0.823126, -0.983854, 1, -0.16625, 0.144593
-0.000109841, -0.115166, -0.343959, 0.183796, 0.105564, -0.16625, 1, -0.53742
