imageName longitude latitude altitude Omega Phi Kappa
1-0.jpg 0.00000000 0.00000000 0.00000000 31.11748476 -35.50977536 -87.95058333
1-1.jpg 0.00000000 0.00000000 0.00000000 57.74265625 -34.86126823 -75.23707416
1-10.jpg 0.00000000 0.00000000 0.00000000 42.63021067 -26.35851588 -84.71761409
1-11.jpg 0.00000000 0.00000000 0.00000000 38.89175667 -26.42120976 -86.54390629
1-12.jpg 0.00000000 0.00000000 0.00000000 40.40033335 -26.85139019 -85.89380428
1-13.jpg 0.00000000 0.00000000 0.00000000 39.37551533 -25.38116188 -86.57909467
1-14.jpg 0.00000000 0.00000000 0.00000000 37.32193417 -23.97106460 -87.78892307
1-15.jpg 0.00000000 0.00000000 0.00000000 36.32696945 -24.04099133 -88.29860716
1-16.jpg 0.00000000 0.00000000 0.00000000 34.36742675 -23.28810904 -89.35457135
1-17.jpg 0.00000000 0.00000000 0.00000000 32.52074517 -22.34158263 -90.24373170
1-18.jpg 0.00000000 0.00000000 0.00000000 31.20376196 -21.58352551 -90.85304139
1-19.jpg 0.00000000 0.00000000 0.00000000 27.99907418 -19.66251825 -92.45009581
1-2.jpg 0.00000000 0.00000000 0.00000000 52.21500737 -34.74544169 -78.74488568
1-20.jpg 0.00000000 0.00000000 0.00000000 27.69799085 -19.82527515 -92.67506496
1-21.jpg 0.00000000 0.00000000 0.00000000 25.99147828 -19.99239706 -93.56887299
1-22.jpg 0.00000000 0.00000000 0.00000000 24.89946553 -19.85579523 -94.09020688
1-23.jpg 0.00000000 0.00000000 0.00000000 22.90648258 -19.13884947 -95.03959087
1-27.jpg 0.00000000 0.00000000 0.00000000 20.02815153 -18.91481607 -96.65853908
1-24.jpg 0.00000000 0.00000000 0.00000000 23.12910049 -18.06776584 -95.03828440
1-74.jpg 0.00000000 0.00000000 0.00000000 -16.23688793 -8.64581623 -113.09939354
1-25.jpg 0.00000000 0.00000000 0.00000000 22.06743187 -19.03313188 -95.52178609
1-26.jpg 0.00000000 0.00000000 0.00000000 21.63707470 -18.50401776 -95.84577010
1-28.jpg 0.00000000 0.00000000 0.00000000 18.46990742 -18.23467494 -97.47588025
1-29.jpg 0.00000000 0.00000000 0.00000000 17.86428995 -18.19458057 -97.79415996
1-3.jpg 0.00000000 0.00000000 0.00000000 50.58624271 -32.92828333 -79.80409180
1-30.jpg 0.00000000 0.00000000 0.00000000 17.69999950 -17.96688069 -97.91940602
1-38.jpg 0.00000000 0.00000000 0.00000000 10.96101913 -17.12932376 -101.35491062
1-31.jpg 0.00000000 0.00000000 0.00000000 16.59760545 -19.14932053 -98.45555779
1-32.jpg 0.00000000 0.00000000 0.00000000 15.87611601 -18.45877510 -98.86384219
1-33.jpg 0.00000000 0.00000000 0.00000000 15.61521543 -18.10895016 -99.09746715
1-34.jpg 0.00000000 0.00000000 0.00000000 14.88598490 -17.65925559 -99.48370164
1-39.jpg 0.00000000 0.00000000 0.00000000 10.85819768 -17.09094234 -101.47182485
1-35.jpg 0.00000000 0.00000000 0.00000000 13.81271806 -17.87447236 -100.01741001
1-36.jpg 0.00000000 0.00000000 0.00000000 13.36224316 -18.18218008 -100.33446092
1-37.jpg 0.00000000 0.00000000 0.00000000 11.90452957 -18.29519311 -100.97306593
1-4.jpg 0.00000000 0.00000000 0.00000000 49.39752781 -33.27249938 -80.37081019
1-40.jpg 0.00000000 0.00000000 0.00000000 9.73955070 -15.99422701 -102.03419703
1-41.jpg 0.00000000 0.00000000 0.00000000 9.59180065 -13.18523742 -102.29342388
1-42.jpg 0.00000000 0.00000000 0.00000000 8.66202658 -13.04004522 -102.67542976
1-46.jpg 0.00000000 0.00000000 0.00000000 5.17896837 -12.27457075 -104.19119195
1-52.jpg 0.00000000 0.00000000 0.00000000 0.01051061 -10.90784332 -106.40186782
1-43.jpg 0.00000000 0.00000000 0.00000000 7.45114208 -12.95882928 -103.21766191
1-57.jpg 0.00000000 0.00000000 0.00000000 -4.72586949 -9.60222756 -108.39962261
1-44.jpg 0.00000000 0.00000000 0.00000000 6.78953165 -11.89004909 -103.58769713
1-62.jpg 0.00000000 0.00000000 0.00000000 -8.46988759 -7.30323657 -110.06924626
1-45.jpg 0.00000000 0.00000000 0.00000000 5.45736188 -12.47445786 -104.02913532
1-47.jpg 0.00000000 0.00000000 0.00000000 4.54713531 -12.64458882 -104.54009615
1-48.jpg 0.00000000 0.00000000 0.00000000 3.86253401 -14.81262537 -104.83792444
1-49.jpg 0.00000000 0.00000000 0.00000000 3.10985196 -11.56677193 -105.27675215
1-64.jpg 0.00000000 0.00000000 0.00000000 -9.75136152 -7.37357348 -110.57139656
1-5.jpg 0.00000000 0.00000000 0.00000000 46.24914603 -29.32033877 -82.43617618
1-50.jpg 0.00000000 0.00000000 0.00000000 1.76520091 -13.30544331 -105.64765630
