VISDATA
77
0 27  22 24 20 27 28 17 18 33 16 15 37 38 14 39 42 13 44 12 48 51 54 8 62 63 69 67 5 
1 0
2 0
3 0
4 0
5 27  24 22 27 28 33 20 37 38 39 42 44 18 17 48 16 51 15 14 54 69 13 67 12 62 63 0 8 
6 0
7 0
8 27  28 27 24 33 37 38 39 22 42 44 20 48 69 67 51 54 18 17 16 62 15 63 0 14 13 12 5 
9 0
10 0
11 0
12 27  33 37 38 39 28 42 69 27 67 44 48 24 51 54 0 22 62 20 63 5 18 17 8 16 15 14 13 
13 27  37 33 38 39 42 44 69 67 28 48 27 51 24 0 54 22 62 63 5 20 8 18 17 16 15 12 14 
14 27  37 33 38 39 42 69 67 44 48 28 27 51 0 54 24 62 5 22 63 8 20 18 17 12 16 15 13 
15 27  37 38 39 33 42 67 69 44 48 0 51 28 54 27 5 62 24 63 22 8 20 12 18 17 13 14 16 
16 27  37 38 39 42 33 44 67 69 48 0 51 54 28 27 5 62 63 24 8 22 20 12 13 18 14 17 15 
17 27  37 39 38 42 44 67 69 33 48 0 51 54 5 28 27 62 63 8 24 22 12 13 14 20 15 16 18 
18 27  39 38 37 42 44 48 67 33 69 0 51 54 5 62 28 63 8 27 24 12 13 22 14 15 16 20 17 
19 0
20 27  42 39 44 38 37 0 48 67 69 51 5 54 33 8 62 63 28 12 27 13 14 15 24 16 17 22 18 
21 0
22 27  44 42 48 39 0 38 51 67 5 37 69 54 8 62 33 63 12 13 14 15 16 28 17 27 18 24 20 
23 0
24 27  44 48 42 51 0 5 39 54 67 8 38 69 37 62 12 63 13 14 33 15 16 17 18 28 20 27 22 
25 0
26 0
27 27  48 51 44 54 42 5 8 0 12 62 67 13 69 39 14 63 38 15 16 37 17 18 20 33 22 24 28 
28 27  48 51 54 44 8 5 42 0 12 62 13 14 67 63 69 15 39 16 17 38 37 18 20 22 33 24 27 
29 0
30 0
31 0
32 0
33 27  54 51 48 62 13 14 16 15 12 17 8 63 18 5 0 20 44 67 22 69 42 24 27 39 28 38 37 
34 0
35 0
36 0
37 27  62 54 16 17 18 63 15 20 14 13 22 12 51 8 24 5 0 48 67 27 69 28 44 42 33 39 38 
38 27  62 54 16 18 17 63 20 22 15 14 13 12 24 51 8 5 0 27 48 28 67 69 44 33 42 39 37 
39 27  62 18 16 17 20 22 63 54 15 14 13 24 12 8 51 5 27 0 28 67 48 69 33 44 42 37 38 
40 0
41 0
42 27  22 62 24 20 18 17 63 16 27 15 14 28 13 12 8 54 5 0 33 51 67 69 48 37 38 39 44 
43 0
44 27  24 22 27 62 28 20 18 63 17 16 15 14 13 12 8 33 5 54 0 67 69 37 51 38 39 48 42 
45 0
46 0
47 0
48 27  28 27 24 22 33 20 18 17 63 16 62 15 14 13 12 37 8 38 5 39 0 67 69 54 42 44 51 
49 0
50 0
51 27  33 28 27 24 22 37 20 38 18 17 16 39 15 14 13 63 12 62 8 42 5 0 44 67 69 48 54 
52 0
53 0
54 27  33 37 38 28 27 39 24 22 20 42 18 17 16 15 14 13 44 12 8 63 5 62 0 48 67 69 51 
55 0
56 0
57 0
58 0
59 0
60 0
61 0
62 27  39 38 37 42 44 33 48 28 27 24 22 51 20 18 17 16 15 14 13 54 12 8 5 0 67 69 63 
63 27  38 39 37 42 44 33 48 28 27 51 24 22 20 18 17 54 16 15 14 13 12 8 5 0 67 69 62 
64 0
65 0
66 0
67 27  20 22 17 16 24 15 14 18 13 12 27 28 33 37 38 8 39 42 44 48 5 51 54 0 62 63 69 
68 0
69 27  17 20 16 14 22 15 24 13 18 12 27 28 33 8 37 38 39 42 44 5 48 51 54 0 62 63 67 
70 0
71 0
72 0
73 0
74 0
75 0
76 0
